 STUDENT NAME          CREDITS  TUITION  UNION FEE  ACT FEE  SCHOLARSHIP  TOTAL BILL


 SMITH            JB     15      003000       025      075        00000      003100
 JAMES            HR     15      003000       000      075        00000      003075
 BAKER            SR     09      001800       000      050        00500      001350
 PART-TIMER       JR     03      000600       025      025        00000      000650
 JONES            PL     15      003000       025      075        00000      003100
 HEAVYWORKER      HM     18      003600       000      075        00000      003675
 LEE              BL     18      003600       000      075        00000      003675
 CLARK            JC     06      001200       000      025        00000      001225
 GROSSMAN         SE     07      001400       000      050        00000      001450
 FRANKEL          LF     10      002000       000      050        00000      002050
 BENWAY           CT     03      000600       000      025        00250      000375
 KERBEL           NB     04      000800       000      025        00000      000825
                              
                               --------  --------  -------      -------     -------

        UNIVERSITY TOTALS        024600      0075     0625       000750      024550
